id,section,group,order,name_es,name_ca,name_en,desc_es,desc_ca,desc_en,price,price2,mark,active
tommy,cocktails,,1,Tommy's Margarita,Tommy's Margarita,Tommy's Margarita,"Tequila, lima y sirope de agave.","Tequila, llima i xarop d'agave.","Tequila, lime and agave syrup.",9,,,TRUE
pornstar,cocktails,,2,Porn Star Martini,Porn Star Martini,Porn Star Martini,"Vodka infusionado con vainilla, fruta de la pasión, sirope de vainilla y shot de cava.","Vodka infusionat amb vainilla, fruita de la passió, xarop de vainilla i xampany.","Vanilla-infused vodka, passion fruit, vanilla syrup and cava shot.",9,,,TRUE
darkstormy,cocktails,,3,Dark and Stormy,Dark and Stormy,Dark and Stormy,"Ron añejo, ginger beer, lima y angostura.","Ron envellit, ginger beer, llima i angostura.","Aged rum, ginger beer, lime and angostura.","8,5",,,TRUE
spritz,cocktails,,4,Aperol Spritz / Campari Spritz,Aperol Spritz / Campari Spritz,Aperol Spritz / Campari Spritz,"Aperol o Campari, cava y soda.","Aperol o Campari, cava i soda.","Aperol or Campari, cava and soda.",7,,,TRUE
bloody,cocktails,,5,Bloody Mary,Bloody Mary,Bloody Mary,"Vodka, salsa bloody, tomate y limón.","Vodka, salsa bloody, tomàquet i llimona.","Vodka, bloody sauce, tomato and lemon.","8,5",,,TRUE
mimosa,cocktails,,6,Mimosa Pomegranate,Mimosa Pomegranate,Mimosa Pomegranate,"Cava, zumo fresco de naranja y granada.","Cava, suc de taronja i magrana.","Cava, fresh orange and pomegranate juice.","5,5",,,TRUE
mule,cocktails,,7,Moscow Mule,Moscow Mule,Moscow Mule,"Vodka, ginger beer, lima y pepino.","Vodka, ginger beer, llima i cogombre.","Vodka, ginger beer, lime and cucumber.","8,5",,,TRUE
mojito,cocktails,,8,Mojito clásico,Mojito clàssic,Classic mojito,"Ron añejo, menta, lima, azúcar y soda.","Ron envellit, menta, llima, sucre i soda.","Aged rum, mint, lime, sugar and soda.","8,5",,,TRUE
paloma,cocktails,,9,Med Paloma,Med Paloma,Med Paloma,"Tequila infusionada con romero, Schweppes al pomelo rosa y lima.","Tequila infusionada amb romaní, Schweppes de pomelo rosa i llima.","Rosemary-infused tequila, pink grapefruit Schweppes and lime.","9,5",,,TRUE
garageSantako,beer,,10,Garage Santako,Garage Santako,Garage Santako,West Coast IPA (sin gluten).,West Coast IPA (sense gluten).,West Coast IPA (gluten-free).,"5,9",,,TRUE
oghamCorn,beer,,11,Cerveza artesana de temporada,Cervesa artesana de temporada,Seasonal craft beer,,,,"4,2","6,3",,TRUE
garageOcata,beer,,12,Garage Ocata IPA,Garage Ocata IPA,Garage Ocata IPA,,,,"5,9",,,TRUE
garageRiba,beer,,13,Garage Riba Pilsner,Garage Riba Pilsner,Garage Riba Pilsner,,,,"4,9",,,TRUE
oghamHazy,beer,,14,Ogham Artesana Hazy IPA,Ogham Artesana Hazy IPA,Ogham Artesana Hazy IPA,,,,"4,9","7,4",,TRUE
estrella,beer,,15,Estrella Damm,Estrella Damm,Estrella Damm,,,,"2,7",4,,TRUE
clara,beer,,16,Clara,Clara,Shandy,,,,"2,8","4,1",,TRUE
turia,beer,,17,Turia (Valencia),Turia (València),Turia (Valencia),,,,"3,5","5,2",,TRUE
vollDamm,beer,,18,Voll Damm Doble Malta,Voll Damm Doble Malta,Voll Damm Doble Malta,,,,"3,8","5,7",,TRUE
complot,beer,,19,IPA Complot,IPA Complot,IPA Complot,,,,"4,7","6,9",,TRUE
galipette,beer,,20,Galipette Sidra Brut,Galipette Sidra Brut,Galipette Sidra Brut,,,,"4,9",,,TRUE
michelada,beer,,21,Michelada,Michelada,Michelada,,,,"5,7",,,TRUE
freeDamm,beer,,22,Free Damm,Free Damm,Free Damm,,,,"3,5",,,TRUE
freeDammTost,beer,,23,Free Damm Tostada,Free Damm Tostada,Free Damm Tostada,,,,"3,5",,,TRUE
daura,beer,,24,Daura,Daura,Daura,,,,"3,5",,,TRUE
cachoBeer,beer,,25,Cacho Beer APA artesana,Cacho Beer APA artesana,Cacho Beer craft APA,,,,"4,4","6,6",,TRUE
virginMojito,zero,,26,Virgin Mojito,Virgin Mojito,Virgin Mojito,"Manzana, menta, lima y soda.","Poma, menta, llima i soda.","Apple, mint, lime and soda.","7,5",,,TRUE
virginMary,zero,,27,Virgin Mary,Virgin Mary,Virgin Mary,"Bloody Mary mix, zumo de tomate.","Mix Bloody Mary, suc de tomàquet.","Bloody Mary mix, tomato juice.","7,5",,,TRUE
shirley,zero,,28,Spicy Shirley,Spicy Shirley,Spicy Shirley,"Sirope de granada, limón y ginger beer.","Xarop de magrana, llimona i ginger beer.","Pomegranate syrup, lemon and ginger beer.",6,,,TRUE
crodino,zero,,29,Crodino Spritz,Crodino Spritz,Crodino Spritz,Crodino con un splash de soda.,Crodino amb un toc de soda.,Crodino with a splash of soda.,"5,5",,,TRUE
